Sivaonyx,Sivaonyx n. sp. soriae,6.2895,6.2895
Brachypsalis,Brachypsalis modicus,14.1815,14.785
Enhydritherium,Enhydritherium n. sp. terraenovae,7.6000000000000005,7.6000000000000005
Mustela,Mustela cf. rexroadensis,3.35,7.6000000000000005
Lutra,Lutra maculicollis,1.294,1.294
cf.,cf. Baranogale helbingi,2.894,2.894
Hypsoparia,Hypsoparia cf. bozemanensis,14.1815,14.785
Promartes,Promartes vantasselensis,22.615000000000002,22.615000000000002
n.,n. gen. Puijila n. sp. darwini,21.735,21.735
n.,n. gen. Brevimalictis n. sp. chikasha,14.785,14.785
Sivaonyx,Sivaonyx ekecaman,3.9605,4.4665
n.,n. gen. Tyrrhenolutra n. sp. helbingi,7.0165,7.0165
Eomellivora,Eomellivora aff. wimani,9.433,9.433
Paludolutra,Paludolutra campanii,7.0165,7.0165
Buisnictis,Buisnictis n. sp. metabatos,3.35,3.35
Meles,Meles ? meles,0.39635000000000004,0.39635000000000004
Martes,Martes cf. americana,0.06885,0.06885
Brachypsalis,Brachypsalis n. sp. obliquidens,18.2,18.2
Lutra,Lutra cf. canadensis,1.29985,1.29985
Galictis,Galictis vittata,0.00585,0.00585
n.,n. gen. Legionarictis n. sp. fortidens,14.785,14.785
Martes,Martes n. sp. nobilis,0.06885,0.06885
Mustela,Mustela cf. nigripes,1.05,1.05
Leptarctus,Leptarctus cf. ancipidens,14.785,14.785
Lutra,Lutra canadensis,0.00585,1.29985
n.,n. gen. Cyrnolutra n. sp. castiglionis,0.4535,0.4535
Promartes,Promartes lepidus,22.615000000000002,25.615000000000002
Martes,Martes campestris,11.95,11.95
Pteronura,Pteronura brasiliensis,0.00585,1.294
Plesiogulo,Plesiogulo marshalli,7.6000000000000005,7.6000000000000005
Eomellivora,Eomellivora wimani,10.399999999999999,10.399999999999999
Taxidea,Taxidea mexicana,7.6000000000000005,7.6000000000000005
Mephitis,Mephitis n. sp. fossidens,1.05,1.05
Arikarictis,Arikarictis chapini,22.615000000000002,22.615000000000002
Osmotherium,Osmotherium spelaeum,1.05,1.05
Siamogale,Siamogale n. sp. melilutra,8.0,8.0
n.,n. gen. Chamitaxus n. sp. avitus,7.6000000000000005,7.6000000000000005
Taxidea,Taxidea taxus,0.063,3.35
Hypsoparia,Hypsoparia n. sp. timmi,14.785,14.785
Mustela,Mustela n. sp. meltoni,3.35,3.35
Sivaonyx,Sivaonyx hendeyi,12.809000000000001,12.809000000000001
Leptarctus,Leptarctus n. sp. desuii,10.435,10.435
Mephitis,Mephitis n. sp. orthostichus,1.05,1.05
Potamotherium,Potamotherium miocenicum,12.375,16.435
Mustela,Mustela frenata,0.00585,1.05
Martes,Martes n. sp. stirtoni,11.95,11.95
Enhydriodon,Enhydriodon africanus,3.0940000000000003,12.809000000000001
Brachypsalis,Brachypsalis cf. pachycephalus,14.785,14.785
Lutra,Lutra platensis,0.3965,0.3965
Martes,Martes n. sp. parapennanti,1.05,1.05
Mustela,Mustela cf. putorius,1.29985,1.29985
Martes,Martes n. sp. khelifensis,13.789000000000001,13.789000000000001
Mustela,Mustela nigripes,0.063,1.05
Martes,Martes cf. martes,0.4535,0.4535
Martes,Martes cf. kinseyi,14.785,14.785
Ictonyx,Ictonyx striatus,0.00585,1.29985
Baranogale,Baranogale cf. helbingi,2.894,2.894
Miomustela,Miomustela cf. madisonae,14.785,14.785
Sthenictis,Sthenictis n. sp. dolichops,18.2,18.2
Martes,Martes cf. pennanti,0.06885,0.06885
Pliotaxidea,Pliotaxidea garberi,7.6000000000000005,7.6000000000000005
Meles,Meles ex gr. meles,1.29985,1.29985
Leptarctus,Leptarctus n. sp. supremus,7.6000000000000005,7.6000000000000005
Conepatus,Conepatus n. sp. robustus,0.06885,0.06885
Mustela,Mustela cf. erminea,0.06885,1.05
Mustela,Mustela rixosa,0.063,0.063
Conepatus,Conepatus leuconotus,0.06885,1.29985
Hoplictis,Hoplictis cf. grangerensis,11.95,11.95
Aonyx,Aonyx ? bravardi,2.197,2.197
cf.,cf. Taxidea taxus,0.06885,0.06885
Taxidea,Taxidea marylandica,1.05,1.05
Lutravus,Lutravus cf. halli,7.6000000000000005,11.95
Buisnictis,Buisnictis cf. schoffi,3.35,3.35
Enhydriodon,Enhydriodon cf. falconeri,3.9605,3.9605
Mionictis,Mionictis n. sp. elegans,18.2,18.2
Enhydriodon,Enhydriodon n. sp. dikikae,4.4665,4.4665
Sivaonyx,Sivaonyx hessicus,8.470500000000001,8.470500000000001
Angustictis,Angustictis aff. mayri,22.715,22.715
Mustela,Mustela aff. erminea,0.4535,0.4535
Megalictis,Megalictis ferox,22.615000000000002,22.615000000000002
Promartes,Promartes cf. lepidus,18.2,22.615000000000002
Martes,Martes americana,0.063,1.29985
Mionictis,Mionictis artenensis,16.435,16.435
Gulo,Gulo gulo,0.063,1.29985
Lutra,Lutra pontica,8.470500000000001,12.154
Leptarctus,Leptarctus wortmani,11.95,11.95
Plionictis,Plionictis parviloba,14.785,14.785
Aonyx,Aonyx bravardi,2.894,2.894
Conepatus,Conepatus sanmiguelensis,7.6000000000000005,7.6000000000000005
Buisnictis,Buisnictis schoffi,3.35,7.6000000000000005
Martes,Martes cf. glareae,14.785,14.785
Paludolutra,Paludolutra n. sp. maremmana,7.0165,7.0165
Leptarctus,Leptarctus n. sp. webbi,11.95,11.95
Enhydra,Enhydra reevei,2.1905,2.1905
Mustela,Mustela n. sp. rexroadensis,3.35,3.35
cf.,cf. Mionictis pristinus,14.785,14.785
Miomustela,Miomustela madisonae,14.785,14.785
n.,n. gen. Matanomictis n. sp. maniyarensis,25.565,25.565
Martes,Martes nobilis,0.063,0.06885
Conepatus,Conepatus mesoleucus,0.06885,0.06885
Brachyopsigale,Brachyopsigale dubius,3.35,3.35
Dinogale,Dinogale n. sp. siouxensis,18.2,18.2
Satherium,Satherium piscinarium,1.05,3.35
n.,n. gen. Negodiaetictis n. sp. rugatrulleum,14.785,14.785
Sivaonyx,Sivaonyx n. sp. gandakasensis,9.433,9.433
Mustela,Mustela n. sp. jacksoni,1.6845,1.6845
Lutra,Lutra n. sp. reevei,2.197,2.197
Sthenictis,Sthenictis n. sp. junturensis,14.1815,14.1815
Martes,Martes zibellina,0.00585,0.00585
Sivaonyx,Sivaonyx n. sp. senutae,8.470500000000001,8.470500000000001
Hoplictis,Hoplictis grangerensis,14.1815,14.1815
Mustela,Mustela americana,0.00585,0.00585
Plionictis,Plionictis cf. ogygia,14.785,14.785
Mustelavus,Mustelavus n. sp. priscus,35.55,35.55
Plionictis,Plionictis oregonensis,7.6000000000000005,7.6000000000000005
Martes,Martes martes,0.00585,1.6845
Mellivora,Mellivora cf. capensis,3.0940000000000003,12.809000000000001
Brachyprotoma,Brachyprotoma obtusata,0.06885,1.05
Conepatus,Conepatus cf. suffocans,1.6845,1.6845
Lutra,Lutra cf. maculicollis,1.29985,1.29985
Eira,Eira barbara,0.00585,0.063
Gulo,Gulo gidleyi,1.05,1.05
Arikarictis,Arikarictis n. sp. chapini,25.615000000000002,25.615000000000002
Mustela,Mustela putorius,0.06885,1.29985
Plesiogulo,Plesiogulo lindsayi,7.6000000000000005,7.6000000000000005
Putorius,Putorius vison,0.00585,0.00585
