it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	l_23	l_24	l_25	l_26	l_27	l_28	l_29	l_30	l_31	l_32	l_33	l_34	l_35	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	m_23	m_24	m_25	m_26	m_27	m_28	m_29	m_30	m_31	m_32	m_33	m_34	m_35	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	
0	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.12761479047404276	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	0.13910495389784736	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046	-0.0114901634238046
1000	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.42922641639266612	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.33268149622701398	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137	0.096544920165652137
2000	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.388588244337921	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.31990398459501462	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373	0.068684259742906373
3000	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.40262875018466276	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.3433627710479884	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363	0.059265979136674363
4000	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.34644591515243256	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.28450661489047302	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954	0.06193930026195954
5000	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.39616784955749645	0.20325898992451036	0.20325898992451036	0.20325898992451036	0.20325898992451036	0.20325898992451036	0.20325898992451036	0.20325898992451036	0.20325898992451036	0.20325898992451036	0.20325898992451036	0.20325898992451036	0.20325898992451036	0.20325898992451036	0.20325898992451036	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.30091110227124301	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	0.09525674728625344	-0.097652112346732656	-0.097652112346732656	-0.097652112346732656	-0.097652112346732656	-0.097652112346732656	-0.097652112346732656	-0.097652112346732656	-0.097652112346732656	-0.097652112346732656	-0.097652112346732656	-0.097652112346732656	-0.097652112346732656	-0.097652112346732656	-0.097652112346732656
6000	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.36214214160303726	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.25749458945973497	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229	0.10464755214330229
7000	0.39894780134798946	0.39894780134798946	0.39894780134798946	0.39894780134798946	0.39894780134798946	0.39894780134798946	0.39894780134798946	0.39894780134798946	0.39894780134798946	0.39894780134798946	0.39894780134798946	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.37438866851722274	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.26899314821150683	0.12995465313648263	0.12995465313648263	0.12995465313648263	0.12995465313648263	0.12995465313648263	0.12995465313648263	0.12995465313648263	0.12995465313648263	0.12995465313648263	0.12995465313648263	0.12995465313648263	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592	0.10539552030571592
8000	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.33154774034724999	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.26895636320804489	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095	0.062591377139205095
9000	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.34052429718328442	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.29491225899921319	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224	0.045612038184071224
